player_id,registration_date,country,device,channel,kyc_completed,kyc_date,ftd_completed,ftd_date,ftd_amount,total_deposits,churned,days_active
P00001,2024-02-27,NO,mobile,referral,True,2024-02-29,True,2024-02-29,22.94,22.94,True,7.0
P00002,2024-02-22,FI,mobile,social,False,,False,,,0.0,True,
P00003,2024-10-06,AT,desktop,paid_search,True,2024-10-09,True,2024-10-09,54.13,163.21,False,80.0
P00004,2024-04-29,FI,mobile,paid_search,True,2024-04-29,True,2024-05-01,32.62,32.62,True,25.0
P00005,2024-10-06,UK,mobile,affiliate,True,2024-10-09,True,2024-10-09,25.92,25.92,True,27.0
P00006,2024-03-22,FI,desktop,paid_search,True,2024-03-24,True,2024-03-24,19.16,19.16,True,40.0
P00007,2024-06-21,UK,mobile,affiliate,True,2024-06-24,True,2024-06-25,31.18,31.18,True,51.0
P00008,2024-05-15,DE,mobile,paid_search,False,,False,,,0.0,True,
P00009,2024-08-23,UK,mobile,social,True,2024-08-26,True,2024-08-27,37.52,37.52,True,48.0
P00010,2024-07-04,FI,mobile,organic,True,2024-07-04,True,2024-07-04,50.97,455.81,False,114.0
P00011,2024-02-10,UK,mobile,paid_search,False,,False,,,0.0,True,
P00012,2024-02-21,UK,mobile,organic,True,2024-02-24,False,,,0.0,True,
P00013,2024-07-05,UK,desktop,organic,True,2024-07-07,True,2024-07-08,22.68,82.67,False,72.0
P00014,2024-03-28,SE,mobile,referral,True,2024-03-29,True,2024-03-30,63.39,63.39,True,58.0
P00015,2024-05-18,DE,desktop,paid_search,False,,False,,,0.0,True,
P00016,2024-10-12,FI,mobile,social,True,2024-10-14,False,,,0.0,True,
P00017,2024-01-29,DE,mobile,paid_search,True,2024-01-29,False,,,0.0,True,
P00018,2024-07-24,FI,mobile,affiliate,True,2024-07-25,False,,,0.0,True,
P00019,2024-10-17,UK,desktop,organic,False,,False,,,0.0,True,
P00020,2024-06-10,FI,desktop,affiliate,True,2024-06-13,True,2024-06-15,76.15,4126.35,False,66.0
P00021,2024-03-14,UK,mobile,paid_search,True,2024-03-15,False,,,0.0,True,
P00022,2024-10-02,DE,mobile,affiliate,True,2024-10-05,False,,,0.0,True,
P00023,2024-07-23,UK,mobile,social,True,2024-07-24,True,2024-07-24,25.73,25.73,True,23.0
P00024,2024-01-25,UK,desktop,paid_search,False,,False,,,0.0,True,
P00025,2024-03-19,IE,mobile,paid_search,False,,False,,,0.0,True,
P00026,2024-08-04,IE,desktop,affiliate,True,2024-08-07,True,2024-08-08,32.53,658.13,False,100.0
P00027,2024-05-08,IE,mobile,social,False,,False,,,0.0,True,
P00028,2024-01-06,UK,mobile,paid_search,False,,False,,,0.0,True,
P00029,2024-02-28,SE,mobile,social,False,,False,,,0.0,True,
P00030,2024-10-01,DE,mobile,organic,False,,False,,,0.0,True,
P00031,2024-06-23,DE,mobile,paid_search,True,2024-06-26,True,2024-06-26,40.58,40.58,True,32.0
P00032,2024-05-14,AT,desktop,organic,False,,False,,,0.0,True,
P00033,2024-04-01,DE,tablet,paid_search,True,2024-04-01,False,,,0.0,True,
P00034,2024-06-01,UK,mobile,paid_search,False,,False,,,0.0,True,
P00035,2024-09-16,UK,mobile,organic,False,,False,,,0.0,True,
P00036,2024-03-19,UK,mobile,social,True,2024-03-20,True,2024-03-22,56.96,56.96,True,7.0
P00037,2024-01-01,UK,mobile,referral,False,,False,,,0.0,True,
P00038,2024-09-07,UK,desktop,affiliate,True,2024-09-09,False,,,0.0,True,
P00039,2024-06-06,FI,desktop,organic,True,2024-06-07,False,,,0.0,True,
P00040,2024-02-10,UK,desktop,organic,True,2024-02-13,False,,,0.0,True,
P00041,2024-09-29,UK,desktop,paid_search,False,,False,,,0.0,True,
P00042,2024-03-06,NO,mobile,affiliate,False,,False,,,0.0,True,
P00043,2024-10-08,UK,mobile,organic,True,2024-10-11,False,,,0.0,True,
P00044,2024-10-03,NO,desktop,paid_search,False,,False,,,0.0,True,
P00045,2024-04-12,UK,mobile,referral,False,,False,,,0.0,True,
P00046,2024-07-23,IE,mobile,paid_search,False,,False,,,0.0,True,
P00047,2024-07-10,NO,desktop,paid_search,True,2024-07-13,True,2024-07-13,51.24,51.24,True,33.0
P00048,2024-02-02,IE,mobile,paid_search,True,2024-02-03,True,2024-02-03,97.93,117.85,False,103.0
P00049,2024-01-31,IE,mobile,affiliate,True,2024-01-31,False,,,0.0,True,
P00050,2024-02-06,FI,desktop,affiliate,True,2024-02-08,True,2024-02-08,91.33,91.33,True,3.0
P00051,2024-10-03,FI,mobile,social,True,2024-10-06,True,2024-10-07,49.65,49.65,True,52.0
P00052,2024-07-27,NO,desktop,paid_search,True,2024-07-27,True,2024-07-28,21.54,21.54,True,12.0
P00053,2024-08-04,FI,mobile,affiliate,True,2024-08-04,False,,,0.0,True,
P00054,2024-02-20,FI,desktop,affiliate,True,2024-02-22,False,,,0.0,True,
P00055,2024-02-25,UK,mobile,organic,True,2024-02-26,True,2024-02-26,75.73,75.73,True,44.0
P00056,2024-08-04,FI,desktop,organic,True,2024-08-07,True,2024-08-07,38.72,38.72,True,30.0
P00057,2024-08-14,UK,mobile,affiliate,False,,False,,,0.0,True,
P00058,2024-10-08,UK,mobile,affiliate,True,2024-10-08,False,,,0.0,True,
P00059,2024-05-01,IE,tablet,referral,True,2024-05-04,True,2024-05-05,41.49,41.49,False,153.0
P00060,2024-03-25,UK,tablet,social,True,2024-03-28,True,2024-03-29,83.71,83.71,True,17.0
P00061,2024-05-26,IE,mobile,affiliate,True,2024-05-29,True,2024-05-30,36.41,36.41,True,53.0
P00062,2024-04-21,FI,mobile,paid_search,False,,False,,,0.0,True,
P00063,2024-10-23,FI,tablet,paid_search,False,,False,,,0.0,True,
P00064,2024-02-01,NO,desktop,affiliate,True,2024-02-01,True,2024-02-02,25.14,25.14,True,15.0
P00065,2024-09-14,SE,desktop,social,False,,False,,,0.0,True,
P00066,2024-09-28,FI,desktop,organic,True,2024-09-28,False,,,0.0,True,
P00067,2024-02-05,NO,desktop,affiliate,True,2024-02-06,True,2024-02-08,102.43,233.8,False,71.0
P00068,2024-10-23,FI,mobile,paid_search,False,,False,,,0.0,True,
P00069,2024-02-11,FI,mobile,organic,True,2024-02-13,False,,,0.0,True,
P00070,2024-04-14,UK,mobile,affiliate,False,,False,,,0.0,True,
P00071,2024-06-09,DE,mobile,social,True,2024-06-12,True,2024-06-14,70.48,70.48,True,6.0
P00072,2024-06-02,UK,mobile,affiliate,True,2024-06-02,True,2024-06-04,28.84,28.84,True,2.0
P00073,2024-10-15,FI,mobile,organic,False,,False,,,0.0,True,
P00074,2024-02-07,FI,desktop,referral,True,2024-02-09,True,2024-02-10,50.9,50.9,True,17.0
P00075,2024-02-05,DE,desktop,paid_search,False,,False,,,0.0,True,
P00076,2024-07-08,AT,mobile,paid_search,True,2024-07-11,False,,,0.0,True,
P00077,2024-06-03,DE,desktop,affiliate,True,2024-06-03,True,2024-06-05,36.58,36.58,True,12.0
P00078,2024-06-02,NO,mobile,affiliate,False,,False,,,0.0,True,
P00079,2024-02-23,NO,mobile,referral,False,,False,,,0.0,True,
P00080,2024-03-09,DE,mobile,affiliate,True,2024-03-09,False,,,0.0,True,
P00081,2024-03-20,NO,mobile,organic,True,2024-03-21,False,,,0.0,True,
P00082,2024-04-14,UK,mobile,paid_search,False,,False,,,0.0,True,
P00083,2024-05-15,NO,mobile,social,True,2024-05-17,False,,,0.0,True,
P00084,2024-01-27,DE,mobile,paid_search,True,2024-01-30,False,,,0.0,True,
P00085,2024-01-23,DE,mobile,paid_search,True,2024-01-24,True,2024-01-25,36.94,36.94,True,22.0
P00086,2024-03-23,UK,mobile,affiliate,False,,False,,,0.0,True,
P00087,2024-10-09,FI,mobile,affiliate,False,,False,,,0.0,True,
P00088,2024-10-14,UK,desktop,affiliate,True,2024-10-14,False,,,0.0,True,
P00089,2024-03-17,UK,mobile,affiliate,True,2024-03-19,True,2024-03-19,65.91,65.91,True,38.0
P00090,2024-08-08,DE,mobile,affiliate,True,2024-08-10,True,2024-08-10,48.21,48.21,True,35.0
P00091,2024-07-02,AT,tablet,organic,True,2024-07-03,True,2024-07-04,33.39,33.39,True,17.0
P00092,2024-10-13,SE,desktop,paid_search,False,,False,,,0.0,True,
P00093,2024-07-27,NO,mobile,paid_search,False,,False,,,0.0,True,
P00094,2024-03-20,NO,desktop,social,False,,False,,,0.0,True,
P00095,2024-05-01,UK,desktop,paid_search,False,,False,,,0.0,True,
P00096,2024-03-31,AT,desktop,social,False,,False,,,0.0,True,
P00097,2024-01-13,SE,mobile,organic,True,2024-01-15,False,,,0.0,True,
P00098,2024-07-29,SE,mobile,referral,False,,False,,,0.0,True,
P00099,2024-05-07,NO,mobile,affiliate,True,2024-05-07,True,2024-05-07,50.63,50.63,True,4.0
P00100,2024-08-28,SE,desktop,organic,True,2024-08-31,True,2024-08-31,67.3,67.3,True,22.0
P00101,2024-04-24,UK,mobile,social,True,2024-04-25,True,2024-04-26,37.11,37.11,True,17.0
P00102,2024-02-05,FI,tablet,referral,False,,False,,,0.0,True,
P00103,2024-05-22,UK,desktop,organic,True,2024-05-25,True,2024-05-27,92.11,210.26,False,62.0
P00104,2024-01-15,UK,desktop,affiliate,True,2024-01-17,True,2024-01-18,29.39,29.39,True,35.0
P00105,2024-01-20,DE,mobile,social,True,2024-01-23,True,2024-01-24,44.47,44.47,True,5.0
