session_id,player_id,session_date,hour_of_day,is_evening,game_type,duration_mins,bets_placed,avg_stake,near_miss_count,returned_next_day,rg_flag,device
S0000001,P00001,2024-03-03,5,False,slots,51,157,31.05,1,True,True,mobile
S0000002,P00003,2024-10-23,7,False,live_casino,31,109,11.57,0,False,False,desktop
S0000003,P00003,2024-11-12,19,True,slots,11,43,2.59,3,True,False,desktop
S0000004,P00003,2024-12-10,20,True,live_casino,29,93,6.16,1,True,False,desktop
S0000005,P00003,2024-11-08,12,False,slots,18,69,6.5,0,True,False,desktop
S0000006,P00003,2024-11-18,21,True,slots,17,52,31.22,0,True,False,desktop
S0000007,P00003,2024-12-19,22,True,live_casino,26,58,4.99,0,False,False,desktop
S0000008,P00003,2024-10-24,8,False,sports_betting,9,34,2.74,1,False,False,desktop
S0000009,P00003,2024-11-19,9,False,sports_betting,23,72,19.18,0,True,False,desktop
S0000010,P00003,2024-10-18,18,True,slots,7,24,5.28,0,True,False,desktop
S0000011,P00003,2024-11-27,14,False,slots,18,62,24.44,0,True,False,desktop
S0000012,P00003,2024-10-16,10,False,live_casino,7,24,27.27,0,False,False,desktop
S0000013,P00003,2024-11-14,10,False,slots,65,117,15.03,2,False,False,desktop
S0000014,P00003,2024-11-07,12,False,live_casino,5,18,6.82,1,False,False,desktop
S0000015,P00003,2024-12-08,13,False,live_casino,39,88,2.25,1,False,False,desktop
S0000016,P00003,2024-11-27,10,False,slots,10,27,3.49,0,True,False,desktop
S0000017,P00003,2024-11-13,19,True,slots,33,130,27.64,5,False,False,desktop
S0000018,P00003,2024-10-14,21,True,sports_betting,61,237,3.44,0,True,False,desktop
S0000019,P00003,2024-11-10,16,False,slots,6,17,55.07,0,False,False,desktop
S0000020,P00003,2024-10-31,22,True,live_casino,13,33,13.39,0,False,False,desktop
S0000021,P00003,2024-10-17,12,False,slots,65,200,31.0,0,True,False,desktop
S0000022,P00003,2024-12-02,12,False,live_casino,14,22,3.59,0,False,False,desktop
S0000023,P00003,2024-11-12,11,False,slots,36,59,2.0,0,True,False,desktop
S0000024,P00003,2024-12-20,21,True,sports_betting,29,67,4.98,0,False,False,desktop
S0000025,P00003,2024-11-21,23,True,sports_betting,102,324,4.16,0,True,False,desktop
S0000026,P00003,2024-11-12,10,False,slots,119,382,4.41,0,True,False,desktop
S0000027,P00003,2024-10-20,14,False,live_casino,25,47,39.59,0,False,False,desktop
S0000028,P00003,2024-11-26,21,True,slots,12,18,7.29,0,False,False,desktop
S0000029,P00003,2024-11-05,14,False,sports_betting,38,96,1.66,0,False,False,desktop
S0000030,P00003,2024-12-05,15,False,sports_betting,25,58,7.77,1,False,False,desktop
S0000031,P00003,2024-11-23,10,False,live_casino,98,318,2.94,0,False,False,desktop
S0000032,P00004,2024-05-02,19,True,slots,24,72,2.27,1,True,False,mobile
S0000033,P00004,2024-05-01,13,False,sports_betting,28,90,7.23,0,False,False,mobile
S0000034,P00004,2024-05-01,11,False,live_casino,83,331,9.98,0,True,False,mobile
S0000035,P00004,2024-05-14,6,False,slots,12,36,8.72,0,False,False,mobile
S0000036,P00004,2024-05-22,14,False,slots,24,92,15.41,1,True,False,mobile
S0000037,P00004,2024-05-20,8,False,slots,21,53,5.1,0,False,False,mobile
S0000038,P00005,2024-10-24,6,False,slots,10,27,3.88,0,True,False,mobile
S0000039,P00005,2024-11-01,12,False,table_games,8,21,1.72,0,False,False,mobile
S0000040,P00005,2024-10-13,20,True,slots,26,85,9.67,0,True,False,mobile
S0000041,P00005,2024-10-15,2,False,live_casino,24,48,15.64,0,False,False,mobile
S0000042,P00005,2024-11-02,18,True,live_casino,71,231,1.25,1,False,False,mobile
S0000043,P00005,2024-10-28,17,False,slots,46,166,2.87,1,True,False,mobile
S0000044,P00005,2024-10-26,11,False,table_games,8,14,5.32,0,False,False,mobile
S0000045,P00006,2024-04-22,19,True,sports_betting,10,32,10.88,0,True,False,desktop
S0000046,P00006,2024-04-29,12,False,slots,14,21,16.62,0,False,False,desktop
S0000047,P00006,2024-04-23,15,False,table_games,14,48,4.26,0,True,False,desktop
S0000048,P00006,2024-04-03,9,False,live_casino,15,35,4.98,0,False,False,desktop
S0000049,P00006,2024-04-23,15,False,table_games,15,57,2.66,1,True,False,desktop
S0000050,P00006,2024-05-01,13,False,live_casino,24,94,3.9,0,False,False,desktop
S0000051,P00006,2024-04-04,15,False,slots,52,162,29.53,0,True,False,desktop
S0000052,P00006,2024-04-17,16,False,live_casino,12,26,3.47,0,False,False,desktop
S0000053,P00006,2024-03-25,17,False,sports_betting,30,100,4.8,0,False,False,desktop
S0000054,P00006,2024-04-14,8,False,slots,18,41,7.2,0,False,False,desktop
S0000055,P00006,2024-04-26,20,True,slots,9,23,1.25,0,True,False,desktop
S0000056,P00006,2024-04-23,15,False,sports_betting,29,50,9.8,1,False,False,desktop
S0000057,P00006,2024-04-19,8,False,slots,46,182,6.9,1,True,False,desktop
S0000058,P00006,2024-05-03,17,False,sports_betting,12,40,3.87,0,False,False,desktop
S0000059,P00006,2024-05-03,9,False,slots,25,81,5.54,0,False,False,desktop
S0000060,P00007,2024-08-08,13,False,slots,35,96,2.11,1,False,False,mobile
S0000061,P00007,2024-07-07,18,True,slots,20,39,3.32,1,True,False,mobile
S0000062,P00007,2024-06-30,16,False,live_casino,44,157,1.73,3,False,False,mobile
S0000063,P00007,2024-07-19,20,True,live_casino,32,123,2.45,0,True,False,mobile
S0000064,P00007,2024-07-07,11,False,slots,12,19,23.95,1,True,False,mobile
S0000065,P00007,2024-07-27,16,False,slots,7,18,2.55,0,False,False,mobile
S0000066,P00007,2024-08-14,16,False,sports_betting,7,19,15.11,1,False,False,mobile
S0000067,P00007,2024-07-16,7,False,slots,102,206,12.67,1,True,False,mobile
S0000068,P00007,2024-07-02,18,True,sports_betting,30,51,3.27,0,True,False,mobile
S0000069,P00007,2024-07-05,16,False,slots,6,20,6.66,0,True,False,mobile
S0000070,P00007,2024-06-29,20,True,sports_betting,16,49,7.72,0,True,False,mobile
S0000071,P00007,2024-06-26,20,True,live_casino,80,138,7.47,0,False,False,mobile
S0000072,P00007,2024-07-26,12,False,table_games,28,107,11.03,0,False,False,mobile
S0000073,P00007,2024-07-12,21,True,slots,41,63,13.58,0,False,False,mobile
S0000074,P00007,2024-07-31,2,False,table_games,22,76,2.37,0,False,False,mobile
S0000075,P00007,2024-08-15,15,False,live_casino,28,62,3.67,0,False,False,mobile
S0000076,P00007,2024-07-25,16,False,slots,3,6,4.77,0,True,False,mobile
S0000077,P00007,2024-06-28,16,False,sports_betting,9,24,3.56,0,True,False,mobile
S0000078,P00007,2024-07-21,18,True,live_casino,4,15,5.86,0,False,False,mobile
S0000079,P00007,2024-07-24,21,True,slots,26,45,10.29,1,True,False,mobile
S0000080,P00009,2024-09-15,9,False,live_casino,52,171,12.41,0,False,False,mobile
S0000081,P00009,2024-10-14,19,True,live_casino,27,41,4.97,0,True,False,mobile
S0000082,P00009,2024-09-21,19,True,slots,25,71,6.59,0,True,False,mobile
S0000083,P00009,2024-09-24,12,False,slots,6,10,4.91,1,False,False,mobile
S0000084,P00009,2024-09-15,21,True,table_games,13,43,6.88,0,False,False,mobile
S0000085,P00009,2024-09-01,18,True,sports_betting,40,86,16.08,1,True,False,mobile
S0000086,P00009,2024-09-08,10,False,sports_betting,10,35,4.25,0,True,False,mobile
S0000087,P00009,2024-09-18,20,True,slots,26,82,11.33,0,True,False,mobile
S0000088,P00009,2024-08-29,6,False,sports_betting,14,42,2.25,0,True,False,mobile
S0000089,P00009,2024-09-17,10,False,slots,17,50,5.29,0,True,False,mobile
S0000090,P00009,2024-09-22,17,False,sports_betting,8,15,4.44,1,True,False,mobile
S0000091,P00009,2024-09-16,8,False,sports_betting,12,31,6.34,1,False,False,mobile
S0000092,P00009,2024-09-26,19,True,slots,40,114,10.14,1,True,False,mobile
S0000093,P00009,2024-10-03,16,False,slots,5,13,9.09,0,False,False,mobile
S0000094,P00009,2024-09-13,8,False,slots,15,50,15.32,0,False,False,mobile
S0000095,P00009,2024-10-05,14,False,slots,26,78,2.47,0,True,False,mobile
S0000096,P00009,2024-09-25,15,False,sports_betting,13,51,6.96,0,False,False,mobile
S0000097,P00009,2024-09-03,14,False,slots,10,38,6.93,1,False,False,mobile
S0000098,P00009,2024-10-02,10,False,live_casino,63,186,19.01,0,False,False,mobile
S0000099,P00009,2024-09-04,17,False,slots,46,144,41.14,2,False,False,mobile
S0000100,P00009,2024-09-20,20,True,table_games,15,24,7.13,1,True,False,mobile
S0000101,P00009,2024-09-09,15,False,sports_betting,9,29,1.41,1,True,False,mobile
S0000102,P00010,2024-08-20,13,False,slots,19,33,4.41,0,False,False,mobile
S0000103,P00010,2024-10-04,20,True,live_casino,8,28,9.39,1,True,False,mobile
S0000104,P00010,2024-08-20,16,False,sports_betting,29,96,11.52,0,True,False,mobile
S0000105,P00010,2024-07-24,11,False,slots,15,58,9.24,1,False,False,mobile
S0000106,P00010,2024-09-01,11,False,slots,20,34,6.41,1,True,False,mobile
S0000107,P00010,2024-07-30,18,True,slots,16,43,7.06,0,True,False,mobile
S0000108,P00010,2024-08-03,22,True,sports_betting,14,26,2.53,1,False,False,mobile
S0000109,P00010,2024-10-21,6,False,sports_betting,22,44,8.75,0,True,False,mobile
S0000110,P00010,2024-08-10,15,False,live_casino,33,78,34.66,1,False,False,mobile
S0000111,P00010,2024-09-21,7,False,slots,40,126,10.07,0,False,False,mobile
S0000112,P00010,2024-10-19,10,False,slots,6,22,14.7,1,False,False,mobile
S0000113,P00010,2024-08-15,12,False,slots,43,101,6.28,1,False,False,mobile
S0000114,P00010,2024-08-17,6,False,table_games,16,54,11.5,1,False,False,mobile
S0000115,P00010,2024-08-25,21,True,slots,48,165,5.51,0,False,False,mobile
S0000116,P00010,2024-08-04,20,True,slots,11,24,10.66,0,True,False,mobile
S0000117,P00010,2024-08-15,14,False,live_casino,4,7,9.72,1,False,False,mobile
S0000118,P00010,2024-10-23,13,False,live_casino,35,114,7.57,0,False,False,mobile
S0000119,P00010,2024-08-10,20,True,table_games,29,83,5.89,0,False,False,mobile
S0000120,P00010,2024-08-12,12,False,live_casino,15,23,4.89,0,False,False,mobile
S0000121,P00010,2024-10-12,13,False,live_casino,13,22,1.24,0,True,False,mobile
S0000122,P00010,2024-10-26,5,False,live_casino,11,26,10.57,0,True,False,mobile
S0000123,P00010,2024-07-19,20,True,sports_betting,17,66,3.62,0,True,False,mobile
S0000124,P00010,2024-09-19,16,False,slots,25,99,6.4,1,False,False,mobile
S0000125,P00010,2024-10-08,13,False,slots,14,21,30.28,0,False,False,mobile
S0000126,P00010,2024-10-18,23,True,live_casino,34,135,4.92,1,False,False,mobile
S0000127,P00010,2024-10-21,19,True,live_casino,44,143,49.71,0,True,False,mobile
S0000128,P00010,2024-09-16,18,True,slots,36,135,3.82,0,True,False,mobile
S0000129,P00010,2024-08-01,3,False,sports_betting,11,32,27.18,0,False,False,mobile
S0000130,P00010,2024-08-07,14,False,sports_betting,14,21,3.83,0,False,False,mobile
S0000131,P00010,2024-08-06,12,False,slots,54,94,35.58,1,True,False,mobile
S0000132,P00010,2024-10-09,23,True,table_games,12,26,5.13,0,False,False,mobile
S0000133,P00010,2024-09-26,16,False,live_casino,10,23,12.62,0,False,False,mobile
S0000134,P00010,2024-07-25,13,False,table_games,10,24,26.82,0,True,False,mobile
